Antonym,Derived word,ex_japa,example,japanese,level,No,part of speech,Synonym,word,unique id
,seventh,私には7つのリンゴがある。,I have seven apples.,7,1,1,"名詞, 形容詞",,seven,1752129506810x718057768371653600
,"eighteen, eighth, eighty",私は毎朝8時に起きる。,I wake up at eight every morning.,8,1,2,名詞,,eight,1752129506810x894220890472705200
,,教室には11人の生徒がいる。,There are eleven students in the classroom.,11,1,4,数詞,,eleven,1752129506811x278879703948522900
,twelfth,一年には12ヶ月ある。,There are twelve months in a year.,12,1,5,数詞,,twelve,1752129506811x521278657411567300
"single, one","nineteen, ninety",彼女は猫を9匹飼っている。,She has nine cats.,9,1,3,"名詞, 形容詞","nonuple, ennead",nine,1752129506811x573272354599895700
,"thirteenth, thirteenthly",バスケットには13個のリンゴがある。,There are thirteen apples in the basket.,13,1,6,名詞,,thirteen,1752129506811x747441469368129900
,,彼女は来月、17歳になる。,She will turn seventeen next month.,17,1,10,名詞,,seventeen,1752129506812x107839324912764700
"fifteen, seventeen",sixteenth,彼女は16歳だ。,She is sixteen years old.,16,1,9,"名詞, 形容詞",,sixteen,1752129506812x398962003447817600
,"fifteenth, fiftieth",彼は15歳だ。,He is fifteen years old.,15,1,8,数詞,,fifteen,1752129506812x685148956213786500
,,私は14歳の時に新しい都市に引っ越した。,I moved to a new city when I was fourteen.,14,1,7,数詞,,fourteen,1752129506812x774570899064968000
,,彼は90歳まで生きた。,He lived to be ninety years old.,90,1,17,数詞,,ninety,1752129506814x240524803719488930
will not,,あなたは通してはならない。,You shall not pass.,〜するだろう、〜すべきだ,2,19,助動詞,will,shall,1752129506814x267405162054537020
,eighteenth,彼は来月18歳になる。,He will turn eighteen next month.,18,1,11,"名詞, 形容詞",,eighteen,1752129506814x272294092297377800
"couldn't, was not able to","could've, could not",私は5歳の時に泳げた。,I could swim when I was five.,〜することができた（過去のcan）,2,18,助動詞,"was able to, managed to",could,1752129506814x425791735030004860
,,彼女は60歳まで生きた。,She lived to be sixty.,60,1,14,数詞,,sixty,1752129506814x537273354677108500
,,私の祖母は80歳だ。,My grandmother is eighty years old.,80,1,16,数詞,,eighty,1752129506814x644498824586989600
,,彼女は来月19歳になる。,She will turn nineteen next month.,19,1,12,"名詞, 形容詞",,nineteen,1752129506814x698617023567276200
,,6月は30日ある。,There are thirty days in June.,30,1,13,数詞,,thirty,1752129506814x707015337193021400
,,彼は70歳まで生きた。,He lived to be seventy.,70,1,15,数詞,,seventy,1752129506814x826231233294886300
won't,,私は明日勉強するつもりだ。,I will study tomorrow.,〜するつもりだ、〜するでしょう,1,20,助動詞,shall,will,1752129506815x880253765812760300
remain,"becoming, became",彼女は医者になりたいと思っている。,She wants to become a doctor.,〜になる,2,24,動詞,"turn into, grow into",become,1752129506816x224209219280389080
disregard,"regarding, regarded",私は彼を最高の友人と考えている。,I regard him as my best friend.,〜と考える,4,23,動詞,"consider, view",regard,1752129506816x246492394984166850
,,私は図書館にいる。,I am at the library.,〜で、〜に,1,21,前置詞,"in, on",at,1752129506816x269993763941270400
"supersede, override",underlying,信頼と尊重が良い友情の基礎となる。,Trust and respect underlie a good friendship.,〜の下にある,7,26,動詞,"form the basis of, be the basis for, be at the root of",underlie,1752129506816x373167746746350500
"like, similar to, akin to",unlikeness,彼の兄とは違って、彼はとても社交的だ。,"Unlike his brother, he is very outgoing.",〜と違って,3,22,前置詞,"dissimilar to, different from, not like",unlike,1752129506816x412380267954577150
"partially, partly",throughout,彼は試練の間ずっと冷静を保った。,He remained calm throughout the ordeal.,〜の間ずっと、全体で,6,27,"形容詞, 前置詞","during, all through, the whole time",throughout,1752129506816x417552663596753000
"far from, away from, distant from",besides,彼女は彼の横に座った。,She sat down beside him.,〜の横に,2,25,前置詞,"next to, alongside, adjacent to",beside,1752129506816x656793066542000300
outside,betweenness,私はジョンとメアリーの間に座った。,I sat between John and Mary.,〜の間に,2,29,前置詞,"among, amidst",between,1752129506817x178186066771625500
,,彼女はクラスメートの間で人気がある。,She is popular among her classmates.,〜の間で,2,28,前置詞,"between, within, in",among,1752129506817x342906401805497900
